Probabilidad_clase_1,Predicción,Real
0.44072878,0,0
0.073482044,0,0
0.01572284,0,0
0.0010706247,0,0
0.011373209,0,0
0.00279515,0,0
0.0012544326,0,0
0.3484356,0,0
0.9675433,1,1
0.0024249558,0,0
0.0011206554,0,0
0.0008080274,0,0
0.9401769,1,1
0.00020075249,0,0
0.010295349,0,0
0.0002467473,0,0
0.0152388,0,0
0.032572273,0,0
0.4462634,0,1
0.9812657,1,1
0.001890333,0,0
0.000222463,0,0
0.9982955,1,1
0.3214682,0,0
0.0009858574,0,0
0.73942024,1,1
0.0012688417,0,0
0.55033255,1,1
0.02810068,0,0
0.29959095,0,0
0.6948839,1,1
0.0010812882,0,0
0.27423495,0,0
0.0107093565,0,0
0.9732379,1,1
0.08833363,0,0
0.057837587,0,0
0.0061656865,0,0
0.29250553,0,0
0.004513665,0,0
0.9719244,1,1
0.00040862645,0,0
0.0003329596,0,0
0.99050117,1,1
0.00060641894,0,0
0.033372156,0,0
0.000375573,0,0
0.994615,1,1
0.00047152283,0,0
0.002306719,0,0
0.0005104776,0,0
0.00060297275,0,0
0.27613074,0,1
0.0015671939,0,0
0.0006301669,0,0
0.11845733,0,0
0.99931467,1,1
0.9995172,1,1
0.012008901,0,0
0.07027861,0,0
0.0015487154,0,0
0.00096145744,0,0
0.0008531371,0,0
0.0021463353,0,0
0.00038403444,0,0
0.0012530779,0,0
0.46766427,0,1
0.9978371,1,1
0.99626994,1,1
0.40781382,0,0
0.00069324824,0,0
0.023307094,0,0
0.1537467,0,0
0.017297113,0,0
0.005992693,0,0
0.83452404,1,0
0.020547576,0,0
0.37825602,0,0
0.00051334547,0,0
0.0033731032,0,0
0.00014383366,0,0
0.00057813694,0,0
0.0003977036,0,0
0.005295265,0,0
0.0007198762,0,0
0.001568153,0,0
0.0011537436,0,0
0.0007555428,0,0
0.046196744,0,0
0.00050918903,0,0
0.04856515,0,0
0.2932417,0,1
0.0066454266,0,0
0.0010221355,0,0
