age,month,day_of_week,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,contactosTotales,campañasExitosasPrevias,job_target_mean,marital_divorced,marital_married,marital_single,marital_unknown,education_freq_encode,housing_no,housing_unknown,housing_yes,loan_no,loan_unknown,loan_yes,contact_cellular,contact_telephone,previous_bin,probabilidad_clase_1,real,prediccion
31,6,1,27,3,999,0,1.4,94.465,-41.8,4.96,5228.1,3,0,0.06839341131534972,1,0,0,0,0.22746642213711635,1,0,0,0,0,1,0,1,0,0.44072878,0,0
26,7,3,352,1,999,0,1.4,93.918,-42.7,4.963,5228.1,1,0,0.1109404990403071,0,0,1,0,0.29588974594098927,1,0,0,0,0,1,1,0,0,0.073482044,0,0
30,5,1,259,1,999,0,-1.8,92.893,-46.2,1.299,5099.1,1,0,0.06839341131534972,0,1,0,0,0.14631317762554616,1,0,0,1,0,0,1,0,0,0.01572284,0,0
30,11,2,273,2,999,0,-0.1,93.2,-42.0,4.153,5195.8,2,0,0.10406885758998435,0,1,0,0,0.12835104374561734,0,0,1,1,0,0,1,0,0,0.0010706247,0,0
50,5,1,165,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,0,0.08108874397504962,1,0,0,0,0.12835104374561734,0,0,1,1,0,0,0,1,0,0.011373209,0,0
43,11,2,326,1,999,0,-0.1,93.2,-42.0,4.153,5195.8,1,0,0.06839341131534972,0,1,0,0,0.14631317762554616,0,0,1,1,0,0,1,0,0,0.00279515,0,0
47,7,3,123,1,999,0,-2.9,92.469,-33.6,1.029,5076.2,1,0,0.1109404990403071,0,1,0,0,0.29588974594098927,0,0,1,1,0,0,1,0,0,0.0012544326,0,0
58,4,1,41,3,999,0,-1.8,93.075,-47.1,1.405,5099.1,3,0,0.08108874397504962,0,1,0,0,0.05601704514806624,0,0,1,1,0,0,1,0,0,0.3484356,0,0
31,10,3,106,1,999,0,-0.1,93.55082120899704,-41.061347935793904,4.763808824823631,5195.8,1,0,0.10388687787544061,0,1,0,0,0.1939223404241756,0,0,0,1,0,0,0,1,0,0.9675433,1,1
48,4,1,436,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,1,0,0.08108874397504962,1,0,0,0,0.22746642213711635,0,0,1,1,0,0,1,0,0,0.0024249558,0,0
