age,month,day_of_week,duration,campaign,pdays,previous,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,previous_bin,job_target_mean,marital_divorced,marital_married,marital_single,marital_unknown,education_freq_encode,housing_no,housing_unknown,housing_yes,loan_no,loan_unknown,loan_yes,contact_cellular,contact_telephone
45,5,3,300.0,1.0,-1.0,0.0,1.1,93.5,-36.4,1.0,5191.0,0,0.6,0,1,0,0,0.5,0,0,1,1,0,0,1,0
25,11,1,30.0,3.0,999.0,1.0,-1.8,92.0,-46.2,0.5,4963.0,1,0.2,0,0,1,0,0.3,1,0,0,0,1,0,0,1
35,6,2,150.0,2.0,-1.0,0.0,0.5,93.0,-40.0,0.8,5100.0,0,0.4,0,0,1,0,0.4,0,0,1,1,0,0,1,0
55,2,4,400.0,1.0,-1.0,0.0,2.1,94.5,-25.0,2.5,5200.0,0,0.7,0,1,0,0,0.6,0,1,0,1,0,0,1,0
30,8,5,200.0,2.0,100.0,2.0,1.5,93.8,-35.5,1.2,5150.0,1,0.5,1,0,0,0,0.4,0,0,1,0,1,0,1,0
42,3,1,120.0,1.0,-1.0,0.0,0.8,92.5,-42.0,0.6,5050.0,0,0.35,0,1,0,0,0.45,1,0,0,1,0,0,0,1
60,7,3,500.0,1.0,-1.0,0.0,1.2,93.2,-37.8,1.3,5180.0,0,0.8,0,1,0,0,0.65,0,0,1,1,0,0,1,0
28,9,2,80.0,4.0,500.0,3.0,-0.5,92.8,-41.5,0.4,5020.0,1,0.25,0,0,1,0,0.35,1,0,0,1,0,0,1,0
50,4,4,350.0,1.0,-1.0,0.0,1.8,93.7,-30.0,1.8,5200.0,0,0.65,0,1,0,0,0.55,0,0,1,1,0,0,1,0
32,10,1,160.0,2.0,250.0,1.0,-1.2,91.8,-48.0,0.2,4900.0,1,0.3,1,0,0,0,0.38,0,1,0,0,1,0,1,0
