date,modelo,accuracy,recall,precision,f1,accuracy_train,roc_auc
2025-06-26 13:56:19,Unknown,-,0.8566,0.8306,0.8434,-,0.9784
2025-09-11 15:52:55,XGBoost,0.9255,0.8136,0.8345,0.8239,0.9423,0.9764
2025-09-11 15:54:25,Random Forest,0.917,0.7921,0.8154,0.8036,0.9391,0.97
2025-09-11 16:33:18,Regresion Logistica,0.913,0.7179,0.853,0.7797,0.9091,0.9596
2025-09-25 11:58:39,XGBoost,0.9255,0.8136,0.8345,0.8239,0.9423,0.9764
2025-09-25 12:06:29,XGBoost,0.9255,0.8136,0.8345,0.8239,0.9423,0.9764
2025-09-25 12:06:54,Random Forest,0.917,0.7921,0.8154,0.8036,0.9391,0.97

2025-09-25 14:08:49,XGBoost,0.9255,0.8136,0.8345,0.8239,0.9423,0.9764
2025-09-25 14:09:36,XGBoost,0.9255,0.8136,0.8345,0.8239,0.9423,0.9764
2025-09-25 14:10:05,Random Forest,0.917,0.7921,0.8154,0.8036,0.9391,0.97
2025-09-25 14:10:11,Regresion Logistica,0.913,0.7179,0.853,0.7797,0.9091,0.9596
2025-09-25 18:28:04,Random Forest con Random Oversampling,0.8982,0.9442,0.8621,0.9013,0.9227,0.9453
2025-09-25 18:40:53,Random Forest con Random Oversampling,0.9114,0.5316,0.6299,0.5766,0.9774,0.9437
